COUNTY,PARISH,RELIEF,INCOME,UNEMP,COTTIND,ALLOTMNT,LONDON,FARMERS,WORKHSE,CHILDALL,SUBSIDY,LABRATE,ROUNDSMN,GRAIN,DENSITY,WEALTH,POP
14,12,21.25,28.63,0.1,0,1,61.43,0.44,0,1,0,0,0,17.09,0.23,6.04,802
14,14,24.78,32.3,0.12,0,1,61.43,0.26,1,1,0,0,0,9.3,0.27,4.55,944
14,15,18.34,29.37,0.08,1,0,61.43,0.34,1,0,1,0,0,15.35,0.29,5.35,544
14,16,18.03,32.23,0.14,0,0,61.43,0.53,1,1,0,0,0,18.5,0.08,3.5,361
14,19,11.82,30.1,0.05,0,1,61.43,0.2,1,1,1,0,1,9.26,0.31,2.85,4624
14,20,9.49,30.99,0.09,0,1,61.43,0.71,0,1,0,0,0,18.69,0.16,3.64,481
14,21,19.87,28.41,0.03,0,0,61.43,0.26,0,1,0,1,0,11.19,0.14,4.71,755
14,23,13.9,29.37,0.01,0,0,61.43,0.5,1,1,0,0,0,5.62,0.72,3.08,318
14,24,25.76,33.06,0.09,0,1,61.43,0.18,1,1,0,0,0,12.9,0.79,3.33,2026
14,27,27.79,29.55,0.07,0,0,61.43,0.43,1,1,0,0,0,20.71,0.18,3.69,962
14,29,13.95,26.86,0.03,0,1,61.43,0.09,1,1,0,0,0,11.96,0.35,4.52,1533
14,32,17.98,30.99,0.05,0,1,61.43,0.23,1,1,0,0,0,11.39,1.36,3.32,2647
14,33,25.77,29.37,0.28,0,1,61.43,0.21,0,1,0,0,0,15.16,0.19,3.87,473
14,34,17.05,24.79,0.07,0,0,61.43,0.17,1,1,0,0,0,7.99,0.43,4.59,3434
14,40,20.03,29.37,0.03,0,0,61.43,1,1,1,0,1,0,20.69,0.16,7.45,326
14,42,18.69,33.57,0.03,0,0,61.43,0.23,1,1,1,0,0,12.28,0.23,3.24,3712
14,43,20.78,33.06,0.04,0,1,61.43,1,0,1,0,0,0,21.24,0.15,7.15,900
14,44,17.59,30.84,0.07,0,1,61.43,0.4,0,1,0,0,0,17.09,0.23,3.87,458
14,47,17.29,30.99,0.07,0,1,61.43,0.25,0,1,0,1,0,15.21,0.15,5.07,686
14,48,13.76,28.63,0.09,1,0,61.43,0.2,1,1,1,1,1,11.51,0.23,3.72,1673
14,53,23.36,33.06,0.01,0,0,61.43,0.75,0,1,1,0,0,21.93,0.13,9.53,115
14,54,21.07,23.45,0.05,0,1,61.43,0.17,0,1,0,0,0,12.58,0.25,1.26,1269
15,1,11.79,27.21,0.01,1,1,79.54,0.02,1,1,0,1,0,1.38,4.08,0.16,690
15,3,8.28,24.49,0.07,0,1,79.54,0.17,1,1,0,0,0,4.61,0.38,5.38,1550
15,9,15.22,26.16,0.02,1,1,79.54,0.1,1,1,0,0,0,3.8,0.48,4.65,4333
15,10,13.93,20.93,0.26,1,1,79.54,1,0,1,0,0,0,18.26,0.15,5.46,309
15,11,11.8,23.13,0.03,0,1,79.54,0.2,1,1,0,0,0,9.8,0.44,4.96,2952
